PathID	ReceptorRound	LigandRound	SBGN-Inhibition	ReceptorSquare	LigandSquare	Receptor	mim-covalent-bond	mim-gap	mim-translocation	SBGN-Production	mim-branching-left	mim-branching-right	SBGN-Catalysis	mim-cleavage	mim-necessary-stimulation	mim-modification	TBar	mim-transcription-translation	mim-binding	mim-inhibition	mim-stimulation	mim-catalysis	mim-conversion	Arrow
WP5175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	19	17
WP5176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	46	55
WP4259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	36	6
WP5178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	18	31
WP5173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	13	17
WP4875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	3	0	0	1
WP5389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
WP710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1	0	0	1	0	69
WP707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	76
WP4016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	15	85	31	0	51
WP3959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	67	14	3	46
WP531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4
WP4946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55
WP5154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	20	33
WP2436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	14	33	0
WP2855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	42
WP4799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	3
WP5200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	15	7	2	2
WP2289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	12
WP3300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
WP5180	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	4	5	11	25	23	19	12
WP4217	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	3	42	16	30	0	4	64
WP262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
WP2858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	10	0	0	0	10
WP3930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	7
WP5273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	1	0	3
WP4320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	9	1	2	12
WP1995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	4	10
WP437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	8	0	0	0	243
WP4806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	1	5	12	0	0	0	63
WP4719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	29	16	23
WP4720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	14	0	12
WP4721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	43	7	46
WP167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	29	2
WP3302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6
WP111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	20
WP3931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	3	0	0	0	0	41
WP4808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	86
WP474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	69
WP2853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	13	2	0	0	7
